MN,Targeted,Conflict,Shellings,Diesel,Wheat,MLL,MLLV,k,AIC,wAIC
1,0,0,0,0,0,7.03,7.12,18,495.89,8.47E-109
2,1,0,0,0,0,7.04,7.13,23,478.13,6.08E-105
3,0,1,0,0,0,7.06,7.15,24,349.72,4.65E-77
4,0,0,1,0,0,7.05,7.12,24,425.51,1.62E-93
5,0,0,0,1,0,7.11,7.25,23,0.00,4.06E-01
6,0,0,0,0,1,7.08,7.21,23,196.16,1.03E-43
7,1,1,0,0,0,7.06,7.15,29,357.96,7.56E-79
8,1,0,1,0,0,7.05,7.12,29,434.64,1.69E-95
9,1,0,0,1,0,7.11,7.25,28,6.77,1.38E-02
10,1,0,0,0,1,7.08,7.21,28,198.09,3.92E-44
11,0,1,1,0,0,7.06,7.15,30,346.10,2.85E-76
12,0,1,0,1,0,7.12,7.18,29,6.47,1.60E-02
13,0,1,0,0,1,7.08,7.21,29,201.68,6.53E-45
14,0,0,1,1,0,7.12,7.15,29,6.08,1.95E-02
15,0,0,1,0,1,7.09,7.22,29,177.65,1.08E-39
16,0,0,0,1,1,7.11,7.26,28,7.95,7.62E-03
17,0,0,1,1,1,7.12,7.27,34,1.05,2.41E-01
18,0,1,0,1,1,7.12,7.19,34,16.07,1.32E-04
19,0,1,1,0,1,7.09,7.22,35,186.26,1.45E-41
20,0,1,1,1,0,7.12,7.16,35,0.80,2.72E-01
21,1,0,0,1,1,7.11,7.26,33,15.45,1.79E-04
22,1,0,1,0,1,7.09,7.21,34,185.98,1.68E-41
23,1,0,1,1,0,7.12,7.24,34,9.50,3.51E-03
24,1,1,0,0,1,7.09,7.21,34,188.30,5.26E-42
25,1,1,0,1,0,7.12,7.18,34,13.26,5.36E-04
26,1,1,1,0,0,7.06,7.15,35,353.94,5.64E-78
27,0,1,1,1,1,7.12,7.18,40,8.40,6.09E-03
28,1,0,1,1,1,7.12,7.27,39,8.09,7.12E-03
29,1,1,0,1,1,7.12,7.17,39,24.54,1.90E-06
30,1,1,1,0,1,7.09,7.21,40,190.98,1.37E-42
31,1,1,1,1,0,7.12,7.16,40,8.37,6.18E-03
32,1,1,1,1,1,7.12,7.17,45,15.89,1.44E-04
Weight,0.0315,0.3012,0.5553,1.0000,0.2620,,,,,
