,Abyan,Aden,Al Bayda,Al Dhale'e,Al Hudaydah,Al Jawf,Al Maharah,Al Mahwit,Amanat Al Asimah,Amran,Dhamar,Hadramaut,Hajjah,Ibb,Lahj,Marib,Raymah,Sa'ada,Sana'a,Shabwah,Taizz,,Hadramaut,Hadramaut,Hadramaut
2016-10-15,166,166,190,215,190,160,,,,,,,,,,,,,,,,,,,
2016-11-15,166,240,199,219,181,160,,,,,,,,,,,,,,,,,,,
2016-12-15,173,194,200,209,175,160,,,,,,,,,,,,,,,,,,,
2017-01-15,165,213,209,226,190,160,,,,,,,,,,,,,,,,,,,
2017-02-15,294,318,213,345,240,190,,,,,,,,,,,,,,,,,,,
2017-03-15,221,415,208,219,221,198,,,,,,,,,,,,,,,,,,,
2017-04-15,178,160,215,240,230,210,,,,,,,,,,,,,,,,,,,
2017-05-15,170,160,228,234,219,210,,,,,,,,,,,,,,,,,,,
2017-06-15,170,160,220,196,229,211,,,,,,,,,,,,,,,,,,,
2017-07-15,170,246,219,213,235,210,,,,,,,,,,,,,,,,,,,
2017-08-15,230,270,238,244,266,210,,,,,,,,,,,,,,,,,,,
2017-09-15,225,220,240,223,239,210,,,,,,,,,,,,,,,,,,,
2017-10-15,225,183.75,248.75,295,245,210,,,,,,,,,,,,,,,,,,,
2017-11-15,275,282.5,356.25,360,413.75,210,,,,,,,,,,,,,,,,,,,
2017-12-15,307.5,325,403.75,326.25,402.5,211.25,,,,,,,,,,,,,,,,,,,
2018-01-15,318.75,312.5,346.25,350,335,325,,,,,,,,,,,,,,,,,,,
2018-02-15,318.75,312.5,346.25,350,335,325,,,,,,,,,,,,,,,,,,,
2018-03-15,310,312.5,360,342.5,337.5,282.5,,,,,,,,,,,,,,,,,,,
2018-04-15,291.25,352.5,350,308.75,321.25,242.5,,,,,,,,,,,,,,,,,,,
2018-05-15,313.75,317.5,358.75,315,350,225,,,,,,,,,,,,,,,,,,,
2018-06-15,335,327.5,375,325,367.5,233.75,,,,,,,,,,,,,,,,,,,
2018-07-15,338.75,333.75,375,343.75,400,210,,,,,,,,,,,,,,,,,,,
2018-08-15,348.75,380,487.5,371.25,411.25,210,,,,,,,,,,,,,,,,,,,
2018-09-15,443.75,451.25,662.5,450,662.5,267.5,,,,,,,,,,,,,,,,,,,
2018-10-15,568.75,546.25,553.75,543.75,625,220,,,,,,,,,,,,,,,,,,,
2018-11-15,506.25,412.5,541.25,428.75,547.5,210,,,,,,,,,,,,,,,,,,,
2018-12-15,320,325,453.75,325,401.25,210,,,,,,,,,,,,,,,,,,,
2019-01-15,292.5,325,410,306.25,360,187.5,,,,,,,,,,,,,,,,,,,
2019-02-15,285,317.5,373.75,306.25,315,180,,,,,,,,,,,,,,,,,,,
2019-03-15,307.5,375,412.5,370,410,180,,,,,,,,,,,,,,,,,,,
2019-04-15,361.25,372.5,427.5,366.25,636.25,230,,,,,,,,,,,,,,,,,,,
2019-05-15,370,360,430,360,450,242.5,,,,,,,,,,,,,,,,,,,
2019-06-15,362.5,363.75,430,342.5,430,250,,,,,,,,,,,,,,,,,,,
2019-07-15,362.5,356.25,426.25,362.5,440,210,,,,,,,,,,,,,,,,,,,
2019-08-15,383.75,387.5,427.5,378.75,450,210,,,,,,,,,,,,,,,,,,,
2019-09-15,410,396.25,486.67,386.25,547.5,210,,,,,,,,,,,,,,,,,,,
2019-10-15,395,387.5,612.5,387.5,557.5,210,,,,,,,,,,,,,,,,,,,
2019-11-15,383.33,376.25,430,370,430,210,,,,,,,,,,,,,,,,,,,
2019-12-15,375,376.25,430,370,430,210,,,,,,,,,,,,,,,,,,,
2020-01-15,403.75,368.75,430,393.75,430,195,,,,,,,,,,,,,,,,,,,
2020-02-15,385,380,430,407.5,430,190,,,,,,,,,,,,,,,,,,,
2020-03-15,372.5,378.75,430,365,430,450,,,,,,,,,,,,,,,,,,,
2020-04-15,277.5,220,345,265,330,345,,,,,,,,,,,,,,,,,,,
2020-05-15,261.25,267.5,345,260,330,397.5,,,,,,,,,,,,,,,,,,,
2020-06-15,261.25,267.5,345,260,330,397.5,,,,,,,,,,,,,,,,,,,
2020-07-15,368.75,365,686.25,341.25,432.5,825,,,,,,,,,,,,,,,,,,,
2020-08-15,415,325,632.5,380,340,600,,,,,,,,,,,,,,,,,,,
2020-09-15,420,400,582.5,407.5,525,525,,,,,,,,,,,,,,,,,,,
2020-10-15,411,400,576,406,692,350,,,,,,,,,,,,,,,,,,,
2020-11-15,397.5,415,456.25,388.75,355,337.5,,,,,,,,,,,,,,,,,,,
2020-12-15,428.75,415,430,403.75,440,350,,,,,,,,,,,,,,,,,,,
2021-01-15,407.5,406.25,457.5,405,356.25,350,,,,,,,,,,,,,,,,,,,
2021-02-15,520,475,587.5,541.25,655,462.5,,,,,,,,,,,,,,,,,,,
2021-03-15,662.5,637.5,662.5,677.5,837.5,537.5,,,,,,,,,,,,,,,,,,,
2021-04-15,631.25,700,586.25,618.75,837.5,600,,,,,,,,,,,,,,,,,,,
2021-05-15,600,628,589,588,600,600,,,,,,,,,,,,,,,,,,,
2021-06-15,596.25,663.75,637.5,596.25,581.25,500,,,,,,,,,,,,,,,,,,,
